FromId,ToId,NodeClass
"6","100","Purpose"
"7","100","Purpose"
"8","100","Purpose"
"9","100","Purpose"
"1","101","Stakeholder"
"3","101","Stakeholder"
"6","101","Stakeholder"
"7","101","Stakeholder"
"8","101","Stakeholder"
"9","101","Stakeholder"
"10","101","Stakeholder"
"2","102","Technical"
"4","102","Technical"
"5","102","Technical"
"6","102","Technical"
"7","102","Technical"
"8","102","Technical"
"9","102","Technical"
"11","102","Technical"
"12","102","Technical"
"13","102","Technical"
